1,4.91,Moving closer
2,7.29,Moving closer
3,7.3,Moving closer
4,6.03,Moving closer
5,4.14,Moving closer
6,3.68,Moving closer
7,13.79,Object Moving
8,22.19,Moving away
9,11.09,Object Moving
10,11.15,Object Moving
11,9.82,Moving closer
12,12.78,Object Moving
13,13.55,Object Moving
14,15.25,Moving away
15,12.36,Object Moving
16,13.23,Object Moving
17,16.81,Moving away
18,18.61,Moving away
19,16.38,Moving away
20,16.46,Moving away
21,22.19,Moving away
22,21.14,Moving away
23,20.09,Moving away
24,19.04,Moving away
25,17.98,Moving away
26,16.93,Moving away
27,15.88,Moving away
28,15.34,Moving away
29,15.58,Moving away
30,15.82,Moving away
31,16.05,Moving away
32,16.29,Moving away
33,16.53,Moving away
34,16.76,Moving away
35,4.91,Moving closer
36,5.36,Moving closer
37,5.8,Moving closer
38,6.25,Moving closer
39,6.7,Moving closer
40,7.14,Moving closer
41,7.29,Moving closer
42,7.29,Moving closer
43,7.3,Moving closer
44,7.3,Moving closer
45,13.79,Object Moving
46,13.31,Object Moving
47,12.84,Object Moving
48,12.36,Object Moving
49,11.88,Object Moving
50,11.41,Object Moving
51,11.09,Object Moving
52,11.1,Object Moving
53,17.03,Moving away
54,17.3,Moving away
55,17.57,Moving away
56,17.85,Moving away
57,18.12,Moving away
58,18.39,Moving away
59,18.54,Moving away
60,18.2,Moving away
61,17.87,Moving away
62,17.53,Moving away
63,17.19,Moving away
64,7.3,Moving closer
65,7.22,Moving closer
66,6.98,Moving closer
67,6.74,Moving closer
68,6.51,Moving closer
69,6.27,Moving closer
70,6.03,Moving closer
71,5.68,Moving closer
72,5.32,Moving closer
73,4.97,Moving closer
74,4.61,Moving closer
75,4.26,Moving closer
76,4.08,Moving closer
77,4,Moving closer
78,11.11,Object Moving
79,11.13,Object Moving
80,11.14,Object Moving
81,11.15,Object Moving
82,11.34,Object Moving
83,11.63,Object Moving
84,11.92,Object Moving
85,12.2,Object Moving
86,12.49,Object Moving
87,12.78,Object Moving
88,3.91,Moving closer
89,3.82,Moving closer
90,16.85,Moving away
91,16.52,Moving away
92,16.39,Moving away
93,16.4,Moving away
94,16.41,Moving away
95,16.42,Moving away
96,16.44,Moving away
97,16.45,Moving away
98,16.46,Moving away
99,3.74,Moving closer
100,4.06,Moving closer
101,5.22,Moving closer
102,6.37,Moving closer
103,7.52,Moving closer
104,8.67,Moving closer
105,9.82,Moving closer
106,12.92,Object Moving
107,13.05,Object Moving
108,13.19,Object Moving
109,13.32,Object Moving
110,13.46,Object Moving
111,13.48,Object Moving
112,13.27,Object Moving
113,13.06,Object Moving
114,12.85,Object Moving
115,12.64,Object Moving
116,12.43,Object Moving
117,12.46,Object Moving
118,12.62,Object Moving
119,12.77,Object Moving
120,12.92,Object Moving
121,13.08,Object Moving
122,13.23,Object Moving
